paper_id,decision,rule_triggered,confidence,needs_human
REC_0177,EXCLUDE,E1..E4,1.0,NO
REC_0178,EXCLUDE,E1..E4,1.0,NO
REC_0180,EXCLUDE,E1..E4,1.0,NO
REC_0181,EXCLUDE,E1..E4,1.0,NO
REC_0182,EXCLUDE,E1..E4,1.0,NO
REC_0183,EXCLUDE,E1..E4,1.0,NO
REC_0184,EXCLUDE,E1..E4,1.0,NO
REC_0185,EXCLUDE,E1..E4,1.0,NO
REC_0186,EXCLUDE,E1..E4,1.0,NO
REC_0187,EXCLUDE,E1..E4,1.0,NO
REC_0188,EXCLUDE,E1..E4,1.0,NO
REC_0189,EXCLUDE,E1..E4,1.0,NO
REC_0190,EXCLUDE,E1..E4,1.0,NO
REC_0191,EXCLUDE,E1..E4,1.0,NO
REC_0192,EXCLUDE,E1..E4,1.0,NO
REC_0193,EXCLUDE,E1..E4,1.0,NO
REC_0194,EXCLUDE,E1..E4,1.0,NO
REC_0197,EXCLUDE,E1..E4,1.0,NO
REC_0199,EXCLUDE,E1..E4,1.0,NO
REC_0200,EXCLUDE,E1..E4,1.0,NO
REC_0201,EXCLUDE,E1..E4,1.0,NO
REC_0203,EXCLUDE,E1..E4,1.0,NO
REC_0204,EXCLUDE,E1..E4,1.0,NO
REC_0205,EXCLUDE,E1..E4,1.0,NO
REC_0206,EXCLUDE,E1..E4,1.0,NO
REC_0207,EXCLUDE,E1..E4,1.0,NO
REC_0209,EXCLUDE,E1..E4,1.0,NO
REC_0210,EXCLUDE,E1..E4,1.0,NO
REC_0212,EXCLUDE,E1..E4,1.0,NO
REC_0214,EXCLUDE,E1..E4,1.0,NO
REC_0216,EXCLUDE,E1..E4,1.0,NO
REC_0217,EXCLUDE,E1..E4,1.0,NO
REC_0219,EXCLUDE,E1..E4,1.0,NO
REC_0220,EXCLUDE,E1..E4,1.0,NO
REC_0221,EXCLUDE,E1..E4,1.0,NO
REC_0222,EXCLUDE,E1..E4,1.0,NO
REC_0223,EXCLUDE,E1..E4,1.0,NO
REC_0225,EXCLUDE,E1..E4,1.0,NO
REC_0226,EXCLUDE,E1..E4,1.0,NO
REC_0227,EXCLUDE,E1..E4,1.0,NO
REC_0229,EXCLUDE,E1..E4,1.0,NO
REC_0230,EXCLUDE,E1..E4,1.0,NO
REC_0231,EXCLUDE,E1..E4,1.0,NO
REC_0232,EXCLUDE,E1..E4,1.0,NO
REC_0233,EXCLUDE,E1..E4,1.0,NO
REC_0234,EXCLUDE,E1..E4,1.0,NO
REC_0235,EXCLUDE,E1..E4,1.0,NO
REC_0236,EXCLUDE,E1..E4,1.0,NO
REC_0238,EXCLUDE,E1..E4,1.0,NO
REC_0240,EXCLUDE,E1..E4,1.0,NO
REC_0241,EXCLUDE,E1..E4,1.0,NO
REC_0243,EXCLUDE,E1..E4,1.0,NO
REC_0245,EXCLUDE,E1..E4,1.0,NO
REC_0247,EXCLUDE,E1..E4,1.0,NO
REC_0248,BORDERLINE_EXCLUDE,E1..E4,0.5,YES
REC_0249,EXCLUDE,E1..E4,1.0,NO
REC_0250,EXCLUDE,E1..E4,1.0,NO
REC_0251,EXCLUDE,E1..E4,1.0,NO
REC_0253,EXCLUDE,E1..E4,1.0,NO
REC_0254,EXCLUDE,E1..E4,1.0,NO
REC_0256,EXCLUDE,E1..E4,1.0,NO
REC_0257,BORDERLINE_EXCLUDE,E1..E4,0.5,YES
REC_0258,EXCLUDE,E1..E4,1.0,NO
REC_0259,EXCLUDE,E1..E4,1.0,NO
REC_0260,EXCLUDE,E1..E4,1.0,NO
REC_0261,EXCLUDE,E1..E4,1.0,NO
REC_0263,EXCLUDE,E1..E4,1.0,NO
REC_0265,EXCLUDE,E1..E4,1.0,NO
REC_0266,EXCLUDE,E1..E4,1.0,NO
REC_0267,BORDERLINE_EXCLUDE,E1..E4,0.5,YES
REC_0268,EXCLUDE,E1..E4,1.0,NO
REC_0269,EXCLUDE,E1..E4,1.0,NO
REC_0270,EXCLUDE,E1..E4,1.0,NO
