approach_family,Adversarial/EW,Indoor;Adversarial/EW,Indoor;Adversarial/EW;Maritime/Water,Indoor;Forest/Canopy;Adversarial/EW,Indoor;Underground/Tunnel;Adversarial/EW,Indoor;Underground/Tunnel;Adversarial/EW;Maritime/Water,Indoor;Underground/Tunnel;Forest/Canopy;Adversarial/EW,Indoor;Underground/Tunnel;Forest/Canopy;Adversarial/EW;Maritime/Water,Indoor;Urban;Adversarial/EW,Indoor;Urban;Adversarial/EW;Maritime/Water,Indoor;Urban;Forest/Canopy;Adversarial/EW,Indoor;Urban;Forest/Canopy;Adversarial/EW;Maritime/Water,Indoor;Urban;Underground/Tunnel,Indoor;Urban;Underground/Tunnel;Adversarial/EW,Indoor;Urban;Underground/Tunnel;Adversarial/EW;Maritime/Water,Indoor;Urban;Underground/Tunnel;Forest/Canopy;Adversarial/EW,Indoor;Urban;Underground/Tunnel;Forest/Canopy;Adversarial/EW;Maritime/Water,Indoor;Urban;Underground/Tunnel;Forest/Canopy;Maritime/Water,Mixed/Unstructured,Underground/Tunnel;Adversarial/EW,Underground/Tunnel;Adversarial/EW;Maritime/Water,Urban;Adversarial/EW,Urban;Adversarial/EW;Maritime/Water,Urban;Forest/Canopy;Adversarial/EW,Urban;Forest/Canopy;Adversarial/EW;Maritime/Water,Urban;Underground/Tunnel;Adversarial/EW,Urban;Underground/Tunnel;Adversarial/EW;Maritime/Water,Urban;Underground/Tunnel;Forest/Canopy;Adversarial/EW,Urban;Underground/Tunnel;Forest/Canopy;Adversarial/EW;Maritime/Water
LiDAR-Inertial / LiDAR SLAM,0,0,0,1,0,0,1,0,1,0,2,0,0,3,3,9,1,0,0,0,0,0,0,0,0,2,0,0,0
UWB / Radio / Beacons,1,0,0,0,2,0,0,0,0,0,1,0,0,3,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0
Visual-Inertial (VIO/SLAM),0,1,1,1,2,0,0,1,3,2,1,2,1,21,12,19,22,0,1,2,1,2,0,1,1,4,8,2,4
Visual-LiDAR Fusion,0,0,0,0,4,1,1,2,6,4,8,3,0,20,21,35,27,1,0,0,0,0,1,1,0,4,2,1,1
