paper_id,status,issues,pdf_exists,pdf_bytes,pdf_pages_actual,pdf_pages_csv,pages_match,text_chars,text_tokens,nonascii_ratio,shorttok_ratio,text_status,missing_fields,qa_consistent,qa_sum,qa_total_csv,fulltext_consistent
REC_0444,PASS,,True,1947188,7,7,True,37553,6057,0.0109,0.225,PASS,,True,4,4,True
REC_0455,PASS,,True,570375,6,6,True,32556,5137,0.0206,0.1849,PASS,,True,3,3,True
REC_0459,PASS,,True,2669465,9,9,True,34488,5686,0.0082,0.2147,PASS,,True,6,6,True
REC_0464,PASS,,True,2889228,7,7,True,35256,5661,0.0069,0.2044,PASS,,True,7,7,True
REC_0469,PASS,,True,1651838,11,11,True,34856,5512,0.0047,0.2092,PASS,,True,6,6,True
REC_0475,PASS,,True,7209172,6,6,True,33306,5260,0.0029,0.1914,PASS,,True,7,7,True
REC_0481,PASS,,True,3852084,8,8,True,46290,6738,0.0068,0.1677,PASS,,True,8,8,True
REC_0485,PASS,,True,8133338,7,7,True,38063,6119,0.0053,0.2098,PASS,,True,6,6,True
REC_0489,PASS,,True,4872211,16,16,True,64349,10471,0.012,0.2204,PASS,,True,6,6,True
REC_0502,PASS,,True,18926776,21,21,True,99022,14266,0.0059,0.1459,PASS,,True,9,9,True
REC_0503,PASS,,True,1811165,8,8,True,39773,6580,0.0091,0.2191,PASS,,True,7,7,True
REC_0534,PASS,,True,1017901,7,7,True,31882,5401,0.0189,0.2559,PASS,,True,8,8,True
REC_0537,PASS,,True,2519789,6,6,True,25714,3677,0.0151,0.1751,PASS,,True,3,3,True
REC_0544,PASS,,True,2558946,8,8,True,41522,6455,0.0053,0.2087,PASS,,True,8,8,True
REC_0572,PASS,,True,347719,6,6,True,27885,4070,0.0033,0.1666,PASS,,True,3,3,True
REC_0594,PASS,,True,4369751,6,6,True,26015,4298,0.008,0.2189,PASS,,True,6,6,True
REC_0598,PASS,,True,584613,4,4,True,18784,2760,0.0013,0.1801,PASS,,True,5,5,True
REC_0617,PASS,,True,655741,6,6,True,26363,4157,0.0447,0.2305,PASS,,True,8,8,True
REC_0620,PASS,,True,8235775,18,18,True,73652,11987,0.0084,0.215,PASS,,True,8,8,True
REC_0622,PASS,,True,3616877,9,9,True,46557,7672,0.0075,0.2387,PASS,,True,7,7,True
REC_0631,PASS,,True,228852,1,1,True,2129,305,0.0005,0.1508,PASS,,True,1,1,True
REC_0639,PASS,,True,1593888,6,6,True,29676,4473,0.0017,0.1784,PASS,,True,6,6,True
REC_0644,PASS,,True,2631238,19,19,True,69638,10051,0.0071,0.1502,PASS,,True,9,9,True
