priority,id,filename,title,year,source,doi,bucket,ieee_link,doi_link,scholar_link,done_Y_N,notes
31,REC_0951,REC_0951.pdf,PSS-LIO A Computationally Efficient LiDAR-Inertial Odometry Framework for UAV Building Inspection via Geometric Predictability and Structure Prior Learning,2026,IEEE_Xplore,10.1109/TIM.2026.3709427,recent,https://ieeexplore.ieee.org/search/searchresult.jsp?queryText=10.1109%2FTIM.2026.3709427,https://doi.org/10.1109/TIM.2026.3709427,https://scholar.google.com/scholar?q=PSS-LIO+A+Computationally+Efficient+LiDAR-Inertial+Odometry+Framework+for+UAV+Building+Inspection+via+Geometric+Predictability+and+Structure+Prior+Learning,Y,
32,REC_1006,REC_1006.pdf,A comprehensive survey on autonomous UAV navigation and control systems,2026,Scopus,10.1007/s40435-026-02068-3,recent,https://www.scopus.com/pages/publications/105035855485?origin=resultslist,https://doi.org/10.1007/s40435-026-02068-3,https://scholar.google.com/scholar?q=A+comprehensive+survey+on+autonomous+UAV+navigation+and+control+systems,,
33,REC_1007,REC_1007.pdf,Robust geo-localization of UAVSAR in GPS-Denied environments using deep cross-modality matching with google Earth imagery,2026,Scopus,10.1007/s12518-026-00694-2,recent,https://www.scopus.com/pages/publications/105029594437?origin=resultslist,https://doi.org/10.1007/s12518-026-00694-2,https://scholar.google.com/scholar?q=Robust+geo-localization+of+UAVSAR+in+GPS-Denied+environments+using+deep+cross-modality+matching+with+google+Earth+imagery,,
34,REC_1014,REC_1014.pdf,Cooperative UAV Swarm Communication Networks for Rapid Disaster Assessment in GPS-Denied Environments,2026,Scopus,10.3390/drones10050355,recent,https://www.scopus.com/pages/publications/105040210034?origin=resultslist,https://doi.org/10.3390/drones10050355,https://scholar.google.com/scholar?q=Cooperative+UAV+Swarm+Communication+Networks+for+Rapid+Disaster+Assessment+in+GPS-Denied+Environments,,
35,REC_1018,REC_1018.pdf,OPsCV: A Robust Framework for Aerial Navigation under Global Positioning System Denied Conditions,2026,Scopus,10.1590/jatm.v18.1413,recent,https://www.scopus.com/pages/publications/105030650208?origin=resultslist,https://doi.org/10.1590/jatm.v18.1413,https://scholar.google.com/scholar?q=OPsCV%3A+A+Robust+Framework+for+Aerial+Navigation+under+Global+Positioning+System+Denied+Conditions,,
36,REC_1019,REC_1019.pdf,Multi-Sensor Fusion SLAM for Interceptor UAVs in GNSS-Denied Environments: A Review,2026,Scopus,10.1109/JSEN.2026.3720978,recent,https://www.scopus.com/pages/publications/105048552810?origin=resultslist,https://doi.org/10.1109/JSEN.2026.3720978,https://scholar.google.com/scholar?q=Multi-Sensor+Fusion+SLAM+for+Interceptor+UAVs+in+GNSS-Denied+Environments%3A+A+Review,,
37,REC_1023,REC_1023.pdf,A Hybrid Drone SINS/GNSS Information Fusion Method Based on Attention-Augmented TCN in GNSS-Denied Environments,2026,Scopus,10.3390/rs18091379,recent,https://www.scopus.com/pages/publications/105038771934?origin=resultslist,https://doi.org/10.3390/rs18091379,https://scholar.google.com/scholar?q=A+Hybrid+Drone+SINS%2FGNSS+Information+Fusion+Method+Based+on+Attention-Augmented+TCN+in+GNSS-Denied+Environments,,
38,REC_1026,REC_1026.pdf,Indoor UAV Localization via Multi-Anchor One-Shot Calibration and Factor Graph Fusion,2026,Scopus,10.3390/rs18091407,recent,https://www.scopus.com/pages/publications/105038413467?origin=resultslist,https://doi.org/10.3390/rs18091407,https://scholar.google.com/scholar?q=Indoor+UAV+Localization+via+Multi-Anchor+One-Shot+Calibration+and+Factor+Graph+Fusion,,
39,REC_1029,REC_1029.pdf,A Localization Strategy for Low-cost UAVs Sewers Inspection,2026,Scopus,10.1109/SII64115.2026.11404663,recent,https://www.scopus.com/pages/publications/105035767676?origin=resultslist,https://doi.org/10.1109/SII64115.2026.11404663,https://scholar.google.com/scholar?q=A+Localization+Strategy+for+Low-cost+UAVs+Sewers+Inspection,,
40,REC_1032,REC_1032.pdf,Synchronized Multi-Directional FMCW mmWave Radar–Inertial Odometry: Robust Positioning and Autonomous Navigation Experiments for UAVs in Low-Light Indoor Environments,2026,Scopus,10.3390/drones10020120,recent,https://www.scopus.com/pages/publications/105031153533?origin=resultslist,https://doi.org/10.3390/drones10020120,https://scholar.google.com/scholar?q=Synchronized+Multi-Directional+FMCW+mmWave+Radar%E2%80%93Inertial+Odometry%3A+Robust+Positioning+and+Autonomous+Navigation+Experiments+for+UAVs+in+Low-Light+Indoor+Environments,,
