paper_number,title,year,experiment_type,appraiser1_real_robot,appraiser1_ground_truth,appraiser1_repeatability,appraiser1_absolute_and_relative_error,appraiser1_trajectory_duration_scale,appraiser1_failure_or_ablation,appraiser1_established_baseline,appraiser1_matched_baseline,appraiser1_released_code_data_detail,appraiser2_real_robot,appraiser2_ground_truth,appraiser2_repeatability,appraiser2_absolute_and_relative_error,appraiser2_trajectory_duration_scale,appraiser2_failure_or_ablation,appraiser2_established_baseline,appraiser2_matched_baseline,appraiser2_released_code_data_detail,consensus_rigor,consensus_reporting,consensus_baseline,consensus_repro,consensus_notes
187,Topological Indoor Localization and Navigation for Autonomous Mobile Robot,2015,Real_World,,,,,,,,,,,,,,,,,,,,,,,
192,Visual-Based Deep Reinforcement Learning for Mobile Robot Obstacle Avoidance Navigation,2023,Real_World,,,,,,,,,,,,,,,,,,,,,,,
199,An Autonomous Simultaneous Localization and Mapping Walker for Indoor Navigation,2018,Real_World,,,,,,,,,,,,,,,,,,,,,,,
202,Design of A Positioning System for UAV in GPS-denied Environment,2022,Simulation,,,,,,,,,,,,,,,,,,,,,,,
205,PhysNav-DG: A Novel Adaptive Framework for Robust VLM-Sensor Fusion in Navigation Applications,2025,Real_World,,,,,,,,,,,,,,,,,,,,,,,
207,V2I-Based LiDAR and RSSI-Based Ranging-Assisted Visual-Inertial Odometry for Robust Ego Vehicle Localization in GPS-Denied Environments,2026,Real_World,,,,,,,,,,,,,,,,,,,,,,,
219,Comparison of Planned Path and Travelled Path Using ROS Navigation Stack,2020,Simulation,,,,,,,,,,,,,,,,,,,,,,,
225,Smart Suitcase for Visually Challenged Individuals in Airport Environments using UWB and LiDAR Fusion SLAM: Morocco Case Study,2024,Real_World,,,,,,,,,,,,,,,,,,,,,,,
232,Design of an Indoor Surveying and Mapping Robot Based on SLAM Technology,2021,Real_World,,,,,,,,,,,,,,,,,,,,,,,
234,Mobile Robot Localization via Indoor Positioning System and Odometry Fusion,2024,Real_World,,,,,,,,,,,,,,,,,,,,,,,
235,Doorway detection for autonomous indoor navigation of unmanned vehicles,2016,Real_World,,,,,,,,,,,,,,,,,,,,,,,
239,Autonomous Flight Control Design Based on Multi-Sensor Fusion for a Low-Cost Quadrotor in GPS-Denied Environments,2022,Real_World,,,,,,,,,,,,,,,,,,,,,,,
248,An Optimization Framework for Efficient Vision-Based Autonomous Drone Navigation,2022,Real_World,,,,,,,,,,,,,,,,,,,,,,,
249,An Autonomously Guided Differential Drive Robot Base Using Asus® Xtion Pro Live,2020,Real_World,,,,,,,,,,,,,,,,,,,,,,,
253,Smart Swarm Robot Navigation System Using Ceiling- Mounted Vision and MQTT Communication,2026,Real_World,,,,,,,,,,,,,,,,,,,,,,,
256,"Design, Implementation & Optimization of Indoor Autonomous Mobile Robotic System Using RGBD Camera and 2D Lidar",2025,Real_World,,,,,,,,,,,,,,,,,,,,,,,
258,Comparative Performance of Simultaneous Localization and Mapping Algorithms for Unmanned Aircraft Based Navigation Systems,2018,Simulation,,,,,,,,,,,,,,,,,,,,,,,
266,Single-Image Depth to 3D Path planning for Collision-Free Drone Navigation,2025,Real_World,,,,,,,,,,,,,,,,,,,,,,,
272,Preliminary Results on Cooperative Localization of ASV and AUV Using Acoustic Relative Positioning,2025,Real_World,,,,,,,,,,,,,,,,,,,,,,,
275,AUTO-PACK: Autonomous Robot for Efficient Medical Logistics in Hospital,2025,Real_World,,,,,,,,,,,,,,,,,,,,,,,
276,Ultra-wideband Automatic Anchor's Localization for Indoor Path Tracking,2022,Real_World,,,,,,,,,,,,,,,,,,,,,,,
277,Semi-Autonomous Interaction Framework for Contact-Based Operations with Commercial UAVs IN GNSS-Denied Environments,2025,Real_World,,,,,,,,,,,,,,,,,,,,,,,
282,Deep Reinforcement Learning Based UAV for Indoor Navigation and Exploration in Unknown Environments,2022,Simulation,,,,,,,,,,,,,,,,,,,,,,,
284,"LIVW-Localization: A Multimodal Information Fused Vehicle Localization Method for Complex, Large-Scale, and GNSS-Denied Environments",2024,Real_World,,,,,,,,,,,,,,,,,,,,,,,
290,Kinect depth image based door detection for autonomous indoor navigation,2014,Real_World,,,,,,,,,,,,,,,,,,,,,,,
293,Adaptive Square-Root Cubature Kalman Filter Based Low Cost UAV Positioning in Dark and GPS-Denied Environments,2025,Real_World,,,,,,,,,,,,,,,,,,,,,,,
304,Visual Assist System With Enhanced Localization for Indoor Navigation of Visually Impaired People,2024,Real_World,,,,,,,,,,,,,,,,,,,,,,,
317,Simulation of UWB Radar-Based Positioning Performance for a UAV in an Urban Area,2018,Simulation,,,,,,,,,,,,,,,,,,,,,,,
321,Tracking Feasibility of UWB Positioning System for Lighter-than-Air Indoor Robot Navigation,2021,Real_World,,,,,,,,,,,,,,,,,,,,,,,
323,Distributed Cooperative UAV Leader-Follower Strategies in GNSS-Denied Environments,2025,Simulation,,,,,,,,,,,,,,,,,,,,,,,
327,Research on Multi-Sensor Indoor Cross-Floor Autonomous Navigation System Based on LiDAR-Visual Fusion SLAM,2025,Real_World,,,,,,,,,,,,,,,,,,,,,,,
345,Distance function based 6DOF localization for unmanned aerial vehicles in GPS denied environments,2017,Simulation,,,,,,,,,,,,,,,,,,,,,,,
350,Research on Autonomous Navigation of a Disinfection Robot for Hospital Based on ROS,2023,Simulation,,,,,,,,,,,,,,,,,,,,,,,
353,Enhancing Visual Odometry: Integrating Load Variability and Optimized RGB-Depth Fusion in Transformer Networks,2025,Real_World,,,,,,,,,,,,,,,,,,,,,,,
364,Autonomous Indoor Navigator,2025,Real_World,,,,,,,,,,,,,,,,,,,,,,,
370,WHU-Helmet: A Helmet-Based Multisensor SLAM Dataset for the Evaluation of Real-Time 3-D Mapping in Large-Scale GNSS-Denied Environments,2023,Real_World,,,,,,,,,,,,,,,,,,,,,,,
388,Multi-UAV Cooperative Navigation Based on Multisource Information Fusion: A Review,2026,Real_World,,,,,,,,,,,,,,,,,,,,,,,
389,Pose-A VLoc: a Drone Adaptive Visual Continuous Localization Framework Based on Pose Assistance,2026,Real_World,,,,,,,,,,,,,,,,,,,,,,,
399,SLAM-DRLnav: A SLAM-Enhanced Deep Reinforcement Learning Navigation Framework for Indoor Self-driving,2023,Real_World,,,,,,,,,,,,,,,,,,,,,,,
408,Autonomous Navigation of a Single UAV in Cluttered Indoor Environment via Cuckoo Search Algorithm,2025,Simulation,,,,,,,,,,,,,,,,,,,,,,,
409,Dust-Resilient Autonomous Navigation and Mapping for UAVs in GNSS-Denied Underground Tunnels,2026,Real_World,,,,,,,,,,,,,,,,,,,,,,,
411,A Survey on Odometry for Autonomous Navigation Systems,2019,Real_World,,,,,,,,,,,,,,,,,,,,,,,
414,Development of an Efficient Path Planning Algorithm for Indoor Navigation,2021,Simulation,,,,,,,,,,,,,,,,,,,,,,,
416,Vision-based pose estimation for autonomous indoor navigation of micro-scale Unmanned Aircraft Systems,2010,Real_World,,,,,,,,,,,,,,,,,,,,,,,
417,An Indoor Navigation Robot Using Augmented Reality,2019,Real_World,,,,,,,,,,,,,,,,,,,,,,,
420,TOM-Odometry: A Generalized Localization Framework Based on Topological Map and Odometry,2023,Real_World,,,,,,,,,,,,,,,,,,,,,,,
426,Leonardo Drone Contest 2021: Politecnico di Milano team architecture,2022,Real_World,,,,,,,,,,,,,,,,,,,,,,,
430,Drones Guiding Drones: Cooperative Navigation of a Less-Equipped Micro Aerial Vehicle in Cluttered Environments,2024,Real_World,,,,,,,,,,,,,,,,,,,,,,,
442,4G Enabled PhoneBot with Cloud based SLAM,2020,Real_World,,,,,,,,,,,,,,,,,,,,,,,
