method_category,Adversarial/EW,Indoor;Adversarial/EW,Indoor;Adversarial/EW;Maritime/Water,Indoor;Forest/Canopy;Adversarial/EW,Indoor;Underground/Tunnel;Adversarial/EW,Indoor;Underground/Tunnel;Forest/Canopy;Adversarial/EW,Indoor;Underground/Tunnel;Forest/Canopy;Adversarial/EW;Maritime/Water,Indoor;Urban;Adversarial/EW,Indoor;Urban;Adversarial/EW;Maritime/Water,Indoor;Urban;Forest/Canopy;Adversarial/EW,Indoor;Urban;Forest/Canopy;Adversarial/EW;Maritime/Water,Indoor;Urban;Underground/Tunnel,Indoor;Urban;Underground/Tunnel;Adversarial/EW,Indoor;Urban;Underground/Tunnel;Adversarial/EW;Maritime/Water,Indoor;Urban;Underground/Tunnel;Forest/Canopy;Adversarial/EW,Indoor;Urban;Underground/Tunnel;Forest/Canopy;Adversarial/EW;Maritime/Water,Indoor;Urban;Underground/Tunnel;Forest/Canopy;Maritime/Water,Mixed/Unstructured,Underground/Tunnel;Adversarial/EW,Underground/Tunnel;Adversarial/EW;Maritime/Water,Urban;Adversarial/EW,Urban;Forest/Canopy;Adversarial/EW,Urban;Forest/Canopy;Adversarial/EW;Maritime/Water,Urban;Underground/Tunnel;Adversarial/EW,Urban;Underground/Tunnel;Adversarial/EW;Maritime/Water,Urban;Underground/Tunnel;Forest/Canopy;Adversarial/EW;Maritime/Water,Total
LiDAR-Inertial / LiDAR SLAM,0,0,0,0,0,0,0,1,0,1,0,0,3,3,9,1,0,0,0,0,0,0,0,1,0,0,19
UWB / Radio / Beacons,1,0,0,0,1,0,0,0,0,1,0,0,3,0,1,0,0,0,0,0,2,0,0,0,0,0,9
Visual-Inertial (VIO/SLAM),0,1,1,1,1,0,1,2,1,1,0,1,9,6,11,16,0,1,2,1,2,1,1,2,6,2,70
Visual-LiDAR Fusion,0,0,0,0,3,1,2,3,2,8,3,0,11,8,16,10,1,0,0,0,0,1,0,3,1,0,73
